RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area_Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject Effects,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,Census Tract,ZIP,County,County desc
7575049,20192501815,9/7/2019 0:00,,7522 N IH 35 SVRD SB,ID,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1230475: 20192501815,NO COMPLAINT OF INJURY/PAIN,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,AUTO THEFT INTERDICTION PROPERTY CRIMES INVEST,6/27/2003 0:00,16,3125968,10096642,4,-,78752,1,TRAVIS COUNTY
7574705,20192510234,9/8/2019 0:00,207,401 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",3,459848329: 20192510234,COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,GEORGE 400 REG I EVENING,7/13/2012 0:00,7,3115439,10070324,9,-,78701,1,TRAVIS COUNTY
7593716,20192860109,10/13/2019 0:00,,413 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",4,255092825: 20192860109,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 500 REG III PATROL,12/22/2017 0:00,2,3115573,10070283,9,11,78701,1,TRAVIS COUNTY
7608346,20193130701,11/9/2019 0:00,,3500 W WELLS BRANCH PKWY,88,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459728551: 20193130701,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,ADAM 200 REG II PATROL,4/27/2007 0:00,13,3127503,10133654,,18.64,78728,1,TRAVIS COUNTY
7615072,20193260796,11/22/2019 0:00,1402,11000 N MOPAC EXPY SVRD SB,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459865740: 20193260796,NO COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,ADAM 200 REG II PATROL,4/20/2000 0:00,20,3116360,10118885,7,17.54,78759,1,TRAVIS COUNTY
7618066,20193331103,11/29/2019 0:00,1740,109 W ANDERSON LN SVRD EB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,334825364: 20193331103,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 400 REG I PATROL,11/30/2012 0:00,7,3125258,10098506,4,18,78752,1,TRAVIS COUNTY
7632799,20193611156,12/27/2019 0:00,,1144 AIRPORT BLVD,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,219218733: 20193611156,NO COMPLAINT OF INJURY/PAIN,M,W,H,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,6/23/2017 0:00,3,3128398,10072590,3,-,78702,1,TRAVIS COUNTY
7466947,2019410178,2/10/2019 0:00,209,403 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",3,322964269: 2019410178,COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,7/13/2012 0:00,7,3115468,10070315,9,-,78701,1,TRAVIS COUNTY
7451893,2019100970,1/10/2019 0:00,1503,3310 DUNLIEGH DR,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,297032028: 2019100970,COMPLAINT OF INJURY/PAIN,M,W,H,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 200 REG IV PATROL,10/7/2011 0:00,7,3085646,10045684,8,17.29,78745,1,TRAVIS COUNTY
7470461,2019471875,2/16/2019 0:00,58,8885 RESEARCH BLVD SVRD NB,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459432872: 2019471875,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,4/27/2007 0:00,12,3120732,10108224,4,18.2,78758,1,TRAVIS COUNTY
7482957,2019722237,3/13/2019 0:00,,516 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",4,135283326: 2019722237,NO COMPLAINT OF INJURY/PAIN,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,AUTO THEFT INTERDICTION PROPERTY CRIMES INVEST,7/8/2005 0:00,14,3115992,10070366,9,11,78701,1,TRAVIS COUNTY
7486920,2019800147,3/21/2019 0:00,234,3701 N IH 35 SVRD NB,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,301336720: 2019800147,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3121318,10080196,9,-,78722,1,TRAVIS COUNTY
7488915,2019831275,3/24/2019 0:00,,9133 NORTHGATE BLVD,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,301662826: 2019831275,NO COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,PASSIVE RESISTANCE,,,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,6/23/2017 0:00,2,3121931,10108440,4,18.2,78758,1,TRAVIS COUNTY
7495091,2019951953,4/5/2019 0:00,2200,NORTHGATE BLVD / W RUNDBERG LN,ED,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459428023: 2019951953,NO COMPLAINT OF INJURY/PAIN,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM DISTRICT REPS  REG II PATROL,3/21/2014 0:00,5,3122010,10108736,4,-,78758,1,TRAVIS COUNTY
7497078,20191001704,4/10/2019 0:00,,614 N COMMONS FORD RD,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,459170074: 20191001704,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,BAKER 800 NIGHT REG I PATROL,10/28/2016 0:00,2,3068873,10095557,6,17.83,78733,1,TRAVIS COUNTY
7497078,20191001704,4/10/2019 0:00,42,614 N COMMONS FORD RD,BA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459170074: 20191001704,NO COMPLAINT OF INJURY/PAIN,M,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,12/22/2017 0:00,1,3068873,10095557,6,17.83,78733,1,TRAVIS COUNTY
7496982,20191001750,4/10/2019 0:00,1920,900 RUTLAND DR,ED,3-TACTICAL OPERATION [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,384045103: 20191001750,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 1 OCD,8/10/2001 0:00,18,3127578,10106801,4,-,78758,1,TRAVIS COUNTY
7496982,20191001750,4/10/2019 0:00,1920,900 RUTLAND DR,ED,3-TACTICAL OPERATION [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,384045103: 20191001750,NO COMPLAINT OF INJURY/PAIN,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 2 OCD,3/22/2013 0:00,6,3127578,10106801,4,-,78758,1,TRAVIS COUNTY
7497052,20191001753,4/10/2019 0:00,1553,8307 GARCREEK CIR,CH,4-DISPATCHED CALL [non MV Stop],OTHER (DOCUMENT IN SUPPLEMENT),4,199491983: 20191001753,COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 400 REG I PATROL,11/13/2015 0:00,3,3149853,10080967,1,22,78724,1,TRAVIS COUNTY
7497052,20191001753,4/10/2019 0:00,2000,8307 GARCREEK CIR,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,199491983: 20191001753,COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3149853,10080967,1,22,78724,1,TRAVIS COUNTY
7497052,20191001753,4/10/2019 0:00,1922,8307 GARCREEK CIR,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,199491983: 20191001753,COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3149853,10080967,1,22,78724,1,TRAVIS COUNTY
7497181,20191002053,4/10/2019 0:00,2210,10700 BURNET RD,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459535878: 20191002053,MINOR INJURY,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 500 REG II PATROL,12/12/2014 0:00,4,3119882,10115742,7,-,78758,1,TRAVIS COUNTY
7497181,20191002053,4/10/2019 0:00,2210,10700 BURNET RD,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459535878: 20191002053,MINOR INJURY,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,MINOR INJURY,DWI TEAM 3 REG III HWY ENFORCEMENT,12/12/2014 0:00,4,3119882,10115742,7,-,78758,1,TRAVIS COUNTY
7449408,201910020,1/1/2019 0:00,7,9307 N LAMAR BLVD,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,238027115: 201910020,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,3/20/2015 0:00,4,3127917,10105255,4,-,78753,1,TRAVIS COUNTY
7449408,201910020,1/1/2019 0:00,7,9307 N LAMAR BLVD,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,238027115: 201910020,MINOR INJURY,M,W,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,12/22/2017 0:00,1,3127917,10105255,4,-,78753,1,TRAVIS COUNTY
7451893,2019100970,1/10/2019 0:00,1500,3310 DUNLIEGH DR,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,297032028: 2019100970,COMPLAINT OF INJURY/PAIN,M,W,H,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,METRO TAC REGION 4,1/2/2009 0:00,10,3085646,10045684,8,17.29,78745,1,TRAVIS COUNTY
7451893,2019100970,1/10/2019 0:00,,3310 DUNLIEGH DR,FR,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,297032028: 2019100970,COMPLAINT OF INJURY/PAIN,M,W,H,,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,MINOR INJURY,FRANK 200 REG IV PATROL,4/23/2010 0:00,9,3085646,10045684,8,17.29,78745,1,TRAVIS COUNTY
7451893,2019100970,1/10/2019 0:00,1500,3310 DUNLIEGH DR,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,297032028: 2019100970,COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,,METRO TAC REGION 4,5/17/2013 0:00,6,3085646,10045684,8,17.29,78745,1,TRAVIS COUNTY
7451893,2019100970,1/10/2019 0:00,1503,3310 DUNLIEGH DR,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,297032028: 2019100970,COMPLAINT OF INJURY/PAIN,M,W,H,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 400 REG IV PATROL,6/23/2017 0:00,2,3085646,10045684,8,17.29,78745,1,TRAVIS COUNTY
7497489,20191010636,4/11/2019 0:00,1023,5029 MANOR RD,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,179700764: 20191010636,NO COMPLAINT OF INJURY/PAIN,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 100 REG III PATROL,3/20/2015 0:00,4,3131715,10081963,1,21,78723,1,TRAVIS COUNTY
7451930,2019101094,1/10/2019 0:00,,13000 HYMEADOW DR,AD,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,459709957: 2019101094,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 500 REG II PATROL,1/2/2009 0:00,10,3098058,10140935,6,204.08,78729,2,WILLIAMSON COUNTY
7451930,2019101094,1/10/2019 0:00,,13000 HYMEADOW DR,AD,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459709957: 2019101094,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 500 REG II PATROL,12/22/2017 0:00,1,3098058,10140935,6,204.08,78729,2,WILLIAMSON COUNTY
7451930,2019101094,1/10/2019 0:00,1555,13000 HYMEADOW DR,AD,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,459709957: 2019101094,NO COMPLAINT OF INJURY/PAIN,F,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ADAM 500 REG II PATROL,12/22/2017 0:00,1,3098058,10140935,6,204.08,78729,2,WILLIAMSON COUNTY
7497494,20191011226,4/11/2019 0:00,,4600 WEST GATE BLVD,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,306971003: 20191011226,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN,DAVID 600 EVENINGS REG IV PATROL,11/30/2012 0:00,6,3096253,10056551,5,17.5,78745,1,TRAVIS COUNTY
7497603,20191011330,4/11/2019 0:00,,3909 N IH 35 SVRD NB,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459528100: 20191011330,COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,10/28/2016 0:00,2,3122010,10081176,9,-,78722,1,TRAVIS COUNTY
7497603,20191011330,4/11/2019 0:00,1829,3909 N IH 35 SVRD NB,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459528100: 20191011330,COMPLAINT OF INJURY/PAIN,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3122010,10081176,9,-,78722,1,TRAVIS COUNTY
7497550,20191011340,4/11/2019 0:00,1630,GEORGIAN DR / JENNIFER LN,ED,3-TACTICAL OPERATION [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1903146: 20191011340,MINOR INJURY,M,W,H,,DEFENSIVE RESISTANCE,CED - DRIVE STUN-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,GANG SUPPRESSION UNIT OCD,1/4/2008 0:00,11,3126474,10100697,4,18,78753,1,TRAVIS COUNTY
7497550,20191011340,4/11/2019 0:00,,GEORGIAN DR / JENNIFER LN,ED,3-TACTICAL OPERATION [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1903146: 20191011340,MINOR INJURY,M,W,H,,DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,,GANG SUPPRESSION UNIT OCD,3/21/2014 0:00,5,3126474,10100697,4,18,78753,1,TRAVIS COUNTY
7497485,20191011352,4/11/2019 0:00,1407,SCOTTSDALE RD / E MARTIN LUTHER KING JR BLVD,CH,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459050389: 20191011352,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,METRO TAC REGION I,6/27/2003 0:00,16,3134343,10077828,1,21,78721,1,TRAVIS COUNTY
